id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
7ILGg6OYKmc8I7sbCjdL07,Jubilation,JUBILATION E. P.,3kQXxAfyturOUkKOnzm0cJ,['Kaien'],['5gxGBVfxWCDF8eKCdqDUzU'],1,1,False,0.7390000000000001,0.85,10,-7.077999999999999,1,0.039,0.00176,0.0821,0.0861,0.4920000000000001,128.004,209185,4.0,2016,2016-10-05
5uuQcFs72vHic7BLRqsHmJ,Giant Rock: Boulder Golem,Down In The Bunker,5n4o0J1OUxcu7BtreIVakZ,['German Oak'],['6LY0ZRNP13v0zOL4lEjxQz'],13,1,False,0.211,0.6759999999999999,5,-8.986,0,0.0411,0.357,0.1889999999999999,0.135,0.373,86.671,737280,4.0,2018,2018-04-02
2k1PUdpVQbeJYSkQm50zLO,American Girls,Ambitions,0p1YL9nzIuKTonZH6Gq58i,['ONE OK ROCK'],['7k73EtZwoPs516ZxE72KsO'],8,1,False,0.47,0.936,11,-3.947,0,0.0557,8.66e-05,0.0,0.0286,0.845,157.936,168600,4.0,2017,2017-01-13
0jEu9FmVgo0BfO2GiJvJ5g,Tumbling Down,Electro Swing for the Masses,2DAYqstkC9Lye5vcV2ahcM,['Good Co'],['5MKWDoatmS7FkjGcshS8gU'],1,1,False,0.4429999999999999,0.737,3,-6.497000000000001,0,0.071,0.4379999999999999,4e-05,0.406,0.937,74.20100000000002,255693,4.0,2012,2012-08-03
57SFa7d4kDrSf66yo1OaMj,In Echo Park,Dirty South Still Life,4ZPkIOP9ZTBjt971w7VeBz,['Textual'],['0Bk0csWYyWUyLgWfIWWJFF'],1,1,False,0.569,0.797,11,-8.517000000000001,1,0.0467,0.6779999999999999,0.7829999999999999,0.126,0.33,134.009,225747,4.0,2005,2005
2gs2DUOjZK14mguWVNxslZ,Coconut,Pantychrist,4KIkY3HJGUcW3sBYsssIVO,"['Bob Ostertag, Otomo Yoshihide & Justin Vivian Bond']",['1j24R9zJxl3ZxSNxe1FB7F'],8,1,False,0.5770000000000001,0.93,6,-6.295,1,0.251,0.672,0.5379999999999999,0.52,0.589,184.695,124987,3.0,1999,1999-01-01
0ag5TNHSF437QJfrCsJ3Vl,Chant du Pecheur,"Balakirev: Complete Piano Works, Vol. 2",0mXdnr0guqSEPpdcBJbQ30,"['Mily Balakirev', 'Nicholas Walker']","['2V5Fnwup32wFPAtMi2vmXq', '3XO5vE1dNaVGGoudsiMwQ7']",12,1,False,0.386,0.0261,10,-30.908,0,0.046,0.995,0.894,0.0679,0.0577,68.571,209320,3.0,2016,2016-02-05
08SQBGYhkfJsRHTrAhWiy4,Shelter Me - Live,Viva La Victouria (Live),4X3fQpA5fb2dhk6MPtMxbN,['Eclipse'],['23ajwxFk5RBpPERZrcjHUr'],7,1,False,0.377,0.626,11,-9.986,1,0.0446,0.13,0.0,0.965,0.45,60.15,210120,4.0,2020,2020-11-06
2vv85G0gGI2gwLuklvf5LX,I Never Wanna Be Like You,As You Were (Deluxe Edition),2V3WS9tlPYmscBNWHHYu9X,['Liam Gallagher'],['6sN51vEARnAAdBw1IKZ8Q9'],15,1,False,0.545,0.6890000000000001,8,-6.539,0,0.0265,0.128,0.0,0.179,0.462,128.965,231226,4.0,2017,2017-10-06
0zRUC0zPLWXRgz6S6DtoIc,Tired of Worrying,Offshore Blues & Zydeco,7tYtVcra6RDDPTHJMRk9NE,['Roy Carrier'],['56CNXWnEpBKEbtkEmCQ5xY'],12,1,False,0.644,0.4970000000000001,0,-8.597999999999999,1,0.0374,0.186,0.00787,0.0633,0.8859999999999999,135.425,265000,4.0,1998,1998-02-01
2FkyNIvWd4EyRbD2Rzbx33,Too Many Parties,20 Gospel Favorites,0gNaJyJmW2S7Z0bdGyrNLy,"['Hylo Brown', 'The Timerliners']","['3THbOOxwMgBb3Cw7fsnW1P', '3YH2jdhEMDtHEtbuBDDZCB']",17,1,False,0.487,0.2239999999999999,6,-17.02,1,0.354,0.3720000000000001,6.24e-06,0.104,0.545,200.314,161600,3.0,2000,2000-05-12
0blP4o2R5F6Pyy6OMNsB2m,Never Tear Us Apart,"Covers, Vol. 2",0UIIvTTWNB3gRQWFoxoEDh,['Sleeping At Last'],['0MeLMJJcouYXCymQSHPn8g'],5,1,False,0.591,0.0994,2,-13.024,1,0.0379,0.986,5.49e-06,0.0689,0.254,97.514,166870,3.0,2016,2016-11-04
45FgsVxVonrm4KNCM0Y4s6,Blame Your Parents,Radio Love Songs - The Singles Collection,7H0LY5q9zugeEzvc49iG9G,['54-40'],['1Y4l4YawNAZndGBSrZxb3N'],12,1,False,0.377,0.8809999999999999,2,-4.882,1,0.0368,6.68e-06,0.0606,0.2019999999999999,0.195,106.315,267160,4.0,2003,2003-06-02
